Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Oscillators_RSI,Oscillators_RSI[1],Oscillators_STOCH.K,Oscillators_STOCH.D,Oscillators_CCI,Oscillators_MACD.macd,Oscillators_MACD.signal,Moving Averages_EMA5,Moving Averages_EMA10,Moving Averages_EMA20,Moving Averages_EMA50,Moving Averages_EMA100,Moving Averages_EMA200,Moving Averages_SMA5,Moving Averages_SMA10,Moving Averages_SMA20,Moving Averages_SMA50,Moving Averages_SMA100,Moving Averages_SMA200,Info_marketCap,Info_trailingPE,Info_dividendYield,Info_fiftyDayAverage,Info_twoHundredDayAverage
2024-04-03 09:30:00-04:00,438.97,444.0,438.96,443.3,25608090,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,0.0,0.0,443.3,443.3,443.3,443.3,443.3,443.3,N/A,N/A,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-03 13:30:00-04:00,443.32,443.53,440.47,442.06,12816247,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,-0.099,-0.02,442.887,443.075,443.182,443.251,443.275,443.288,N/A,N/A,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-04 09:30:00-04:00,446.35,446.95,444.91,446.33,18646038,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,0.165,0.017,444.034,443.666,443.482,443.372,443.336,443.318,N/A,N/A,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-04 13:30:00-04:00,446.35,446.41,435.11,435.24,35131464,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,-0.514,-0.089,441.103,442.134,442.697,443.053,443.176,443.238,N/A,N/A,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-05 09:30:00-04:00,436.84,443.17,435.96,442.22,31710355,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,-0.484,-0.168,441.475,442.15,442.651,443.021,443.157,443.227,441.8299926757812,N/A,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-05 13:30:00-04:00,442.24,442.64,439.45,440.51,19507727,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,-0.591,-0.253,441.154,441.852,442.447,442.922,443.104,443.2,441.2719970703125,N/A,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-08 09:30:00-04:00,441.42,442.5,439.2,440.99,17179078,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,-0.63,-0.328,441.099,441.695,442.309,442.846,443.062,443.178,441.05799560546876,N/A,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-08 13:30:00-04:00,441.0,441.45,440.221,440.62,9706365,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,-0.683,-0.399,440.939,441.5,442.148,442.759,443.014,443.153,439.91599731445314,N/A,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-09 09:30:00-04:00,443.03,443.24,437.44,440.2,23156669,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,-0.75,-0.469,440.693,441.263,441.962,442.659,442.958,443.124,440.9080017089844,N/A,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-09 13:30:00-04:00,440.21,442.33,438.73,442.25,13941429,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,-0.63,-0.501,441.212,441.443,441.99,442.643,442.944,443.115,440.91400146484375,441.3719970703125,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-10 09:30:00-04:00,436.84,439.24,436.35,437.86,38013572,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,-0.88,-0.577,440.095,440.791,441.596,442.455,442.844,443.063,440.3839965820313,440.8279968261719,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-10 13:30:00-04:00,437.81,442.23,436.39,438.28,20598457,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,-1.032,-0.668,439.49,440.335,441.281,442.291,442.753,443.015,439.8419982910156,440.4499969482422,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-11 09:30:00-04:00,440.25,444.04,437.96,443.73,25006518,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,-0.704,-0.675,440.903,440.952,441.514,442.348,442.773,443.022,440.46400146484376,440.18999938964845,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-11 13:30:00-04:00,443.75,446.33,443.3,445.46,18247165,0.0,0.0,0.0,52.660106631268235,N/A,87.41539381504946,N/A,N/A,-0.302,-0.601,442.422,441.772,441.89,442.47,442.826,443.046,441.5159973144531,441.2119995117188,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-12 09:30:00-04:00,441.13,442.23,437.02,437.32,30824603,0.0,0.0,0.0,43.86530955210461,52.660106631268235,18.664652786011434,N/A,N/A,-0.632,-0.607,440.721,440.962,441.454,442.268,442.717,442.989,440.52997436523435,440.72198791503905,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-12 13:30:00-04:00,437.305,438.71,436.88,438.31,19292919,0.0,0.0,0.0,46.133237167747275,43.86530955210461,27.027068824199556,44.36903847508682,N/A,-0.805,-0.646,439.918,440.48,441.155,442.113,442.63,442.943,440.61997680664064,440.5019866943359,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-15 09:30:00-04:00,442.07,442.09,432.69,432.79,30317640,0.0,0.0,0.0,36.38929348432958,46.133237167747275,0.7289073951736855,15.473543001794893,N/A,-1.371,-0.791,437.542,439.082,440.358,441.747,442.435,442.842,439.5219787597656,439.68198852539064,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-15 13:30:00-04:00,432.81,432.81,430.21,430.99,28936912,0.0,0.0,0.0,44.74662610752999,36.38929348432958,4.8387035704819965,10.864893263285078,N/A,-1.943,-1.022,435.358,437.611,439.466,441.325,442.208,442.724,436.973974609375,438.7189880371094,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-16 09:30:00-04:00,430.89,432.53,429.78,431.64,24464481,0.0,0.0,0.0,34.496011362630156,44.74662610752999,11.238774870461544,5.602128612039075,N/A,-2.317,-1.281,434.119,436.525,438.721,440.945,441.999,442.614,434.20997924804686,437.86298828125,N/A,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-16 13:30:00-04:00,431.68,433.76,429.7,431.09,20966357,0.0,0.0,0.0,35.71003323021996,34.496011362630156,8.358305913959748,8.14526145163443,N/A,-2.628,-1.55,433.109,435.537,437.994,440.559,441.783,442.499,432.96400146484376,436.7469879150391,439.05949249267576,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-17 09:30:00-04:00,433.09,433.1,424.909,427.27,31206016,0.0,0.0,0.0,31.102063326459216,35.71003323021996,11.020596569660343,10.205892451360546,N/A,-3.146,-1.869,431.163,434.034,436.973,440.038,441.495,442.347,430.75599975585936,435.68798828125,438.25799255371095,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-17 13:30:00-04:00,427.26,429.25,425.68,425.8,21855394,0.0,0.0,0.0,30.187298250882066,31.102063326459216,4.1580651733192004,7.845655885646431,N/A,-3.633,-2.222,429.375,432.537,435.909,439.479,441.185,442.183,429.3579956054688,434.4399871826172,437.4449920654297,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-18 09:30:00-04:00,426.41,428.24,423.2,424.401,27258910,0.0,0.0,0.0,29.41756474042998,30.187298250882066,5.194063249169111,6.790908330716218,N/A,-4.085,-2.595,427.717,431.058,434.813,438.888,440.852,442.006,428.0402770996094,432.5071258544922,436.3485626220703,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-18 13:30:00-04:00,424.41,424.62,422.83,423.36,16342720,0.0,0.0,0.0,24.72589930995059,29.41756474042998,2.2553139544547873,3.8691474589810326,N/A,-4.475,-2.971,426.265,429.658,433.722,438.279,440.506,441.82,426.3842712402344,430.2971252441406,435.7545623779297,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-19 09:30:00-04:00,422.12,422.75,415.23,416.62,42482469,0.0,0.0,0.0,23.263037876261762,24.72589930995059,4.46940585859458,3.9729276874061594,N/A,-5.268,-3.43,423.05,427.287,432.093,437.43,440.033,441.57,423.4902709960937,428.2271362304688,434.4745620727539,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-19 13:30:00-04:00,416.59,418.515,413.07,414.65,29459811,0.0,0.0,0.0,21.371633253077633,23.263037876261762,4.75041358409268,3.8250444657140164,N/A,-5.986,-3.941,420.25,424.99,430.432,436.536,439.53,441.302,420.9662719726563,425.8611358642578,433.1815612792969,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-22 09:30:00-04:00,417.32,418.661,413.94,418.661,29249884,0.0,0.0,0.0,18.53075459685087,21.371633253077633,16.80963570650623,8.676485049731165,N/A,-6.161,-4.385,419.72,423.839,429.311,435.835,439.117,441.076,419.5384521484375,424.44822387695314,432.0651062011719,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-22 13:30:00-04:00,418.64,421.18,418.23,418.85,15716292,0.0,0.0,0.0,15.25230015876356,18.53075459685087,19.821666849813973,13.793905380137629,N/A,-6.212,-4.751,419.43,422.932,428.315,435.169,438.716,440.855,418.428173828125,423.2342254638672,430.97660675048826,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-23 09:30:00-04:00,420.91,425.28,420.42,424.92,26481146,0.0,0.0,0.0,32.88264947175874,15.25230015876356,40.83381531763642,25.821705957985543,N/A,-5.697,-4.94,421.26,423.293,427.991,434.767,438.442,440.697,418.74017944335935,422.5622253417969,430.2126068115234,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-23 13:30:00-04:00,424.91,426.28,424.65,425.14,13315199,0.0,0.0,0.0,31.42460409012179,32.88264947175874,41.59191528293355,34.082465816794645,N/A,-5.212,-4.994,422.553,423.629,427.72,434.39,438.179,440.542,420.4441833496094,421.96722717285155,429.3571075439453,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
