Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Oscillators_RSI,Oscillators_RSI[1],Oscillators_STOCH.K,Oscillators_STOCH.D,Oscillators_CCI,Oscillators_MACD.macd,Oscillators_MACD.signal,Moving Averages_EMA5,Moving Averages_EMA10,Moving Averages_EMA20,Moving Averages_EMA50,Moving Averages_EMA100,Moving Averages_EMA200,Moving Averages_SMA5,Moving Averages_SMA10,Moving Averages_SMA20,Moving Averages_SMA50,Moving Averages_SMA100,Moving Averages_SMA200,Info_sector,Info_industry,Info_marketCap,Info_trailingPE,Info_forwardPE,Info_dividendYield,Info_beta,Info_fiftyDayAverage,Info_twoHundredDayAverage
2020-04-01 00:00:00-04:00,59.82,60.359,58.032,58.464,176218400,0.0,0.0,47.886,44.345,42.044,55.158,-37.093,-2.931,-3.328,60.173,60.549,62.562,66.621,66.415,62.308,60.97,59.383,62.172,70.18,69.082,60.587,Technology,Consumer Electronics,2829863354368,29.902,22.669,0.49,1.259,229.726,229.147
2020-04-02 00:00:00-04:00,58.325,59.493,57.491,59.439,165934000,0.0,0.0,38.791,47.886,64.795,56.254,-31.61,-2.828,-3.228,59.929,60.347,62.265,66.34,66.277,62.279,60.314,59.387,61.59,69.83,69.049,60.646,Technology,Consumer Electronics,2829863354368,29.902,22.669,0.49,1.259,229.726,229.147
2020-04-03 00:00:00-04:00,58.922,59.626,57.993,58.585,129880000,0.0,0.0,49.653,38.791,57.739,54.859,-26.73,-2.783,-3.139,59.481,60.027,61.914,66.036,66.124,62.243,60.007,59.682,61.012,69.456,69.005,60.701,Technology,Consumer Electronics,2829863354368,29.902,22.669,0.49,1.259,229.726,229.147
2020-04-06 00:00:00-04:00,60.888,63.851,60.519,63.696,201820400,0.0,0.0,53.827,49.653,98.733,73.756,21.619,-2.309,-2.973,60.886,60.694,62.084,65.944,66.076,62.257,60.379,60.607,60.967,69.189,69.007,60.779,Technology,Consumer Electronics,2829863354368,29.902,22.669,0.49,1.259,229.726,229.147
2020-04-07 00:00:00-04:00,65.717,65.936,62.854,62.958,202887200,0.0,0.0,55.212,53.827,79.235,78.569,39.781,-1.97,-2.773,61.577,61.106,62.167,65.827,66.014,62.264,60.628,60.911,60.653,68.952,69.002,60.855,Technology,Consumer Electronics,2829863354368,29.902,22.669,0.49,1.259,229.726,229.147
2020-04-08 00:00:00-04:00,63.761,64.885,63.395,64.57,168895200,0.0,0.0,58.372,55.212,90.472,89.48,46.802,-1.553,-2.529,62.574,61.736,62.396,65.778,65.986,62.287,61.85,61.41,60.539,68.705,69.008,60.939,Technology,Consumer Electronics,2829863354368,29.902,22.669,0.49,1.259,229.726,229.147
2020-04-09 00:00:00-04:00,65.208,65.54,64.237,65.036,161834800,0.0,0.0,67.066,58.372,93.721,87.81,56.08,-1.172,-2.257,63.395,62.336,62.648,65.748,65.967,62.314,62.969,61.642,60.779,68.435,69.022,61.029,Technology,Consumer Electronics,2829863354368,29.902,22.669,0.49,1.259,229.726,229.147
2020-04-13 00:00:00-04:00,65.113,66.421,64.511,66.312,131022800,0.0,0.0,71.454,67.066,98.858,94.35,66.999,-0.758,-1.957,64.367,63.059,62.997,65.771,65.974,62.354,64.514,62.261,60.722,68.193,69.042,61.121,Technology,Consumer Electronics,2829863354368,29.902,22.669,0.49,1.259,229.726,229.147
2020-04-14 00:00:00-04:00,67.95,69.952,67.477,69.661,194994800,0.0,0.0,69.09,71.454,97.663,96.747,107.151,-0.157,-1.597,66.132,64.259,63.631,65.923,66.047,62.427,65.707,63.043,61.266,68.088,69.092,61.229,Technology,Consumer Electronics,2829863354368,29.902,22.669,0.49,1.259,229.726,229.147
2020-04-15 00:00:00-04:00,68.533,69.486,68.103,69.025,131154400,0.0,0.0,68.273,69.09,92.561,96.361,100.705,0.264,-1.225,67.096,65.126,64.145,66.045,66.106,62.493,66.921,63.775,61.649,67.974,69.137,61.336,Technology,Consumer Electronics,2829863354368,29.902,22.669,0.49,1.259,229.726,229.147
