Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Oscillators_RSI,Oscillators_RSI[1],Oscillators_STOCH.K,Oscillators_STOCH.D,Oscillators_CCI,Oscillators_MACD.macd,Oscillators_MACD.signal,Moving Averages_EMA5,Moving Averages_EMA10,Moving Averages_EMA20,Moving Averages_EMA50,Moving Averages_EMA100,Moving Averages_EMA200,Moving Averages_SMA5,Moving Averages_SMA10,Moving Averages_SMA20,Moving Averages_SMA50,Moving Averages_SMA100,Moving Averages_SMA200,Info_sector,Info_industry,Info_marketCap,Info_trailingPE,Info_forwardPE,Info_dividendYield,Info_beta,Info_fiftyDayAverage,Info_twoHundredDayAverage
2020-04-01 00:00:00-04:00,146.448,150.995,144.362,145.596,57969900,0.0,0.0,55.55,51.612,60.725,77.698,16.987,-2.956,-4.911,146.961,145.209,146.562,151.389,150.047,143.085,148.527,142.348,143.598,157.572,152.537,141.814,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
2020-04-02 00:00:00-04:00,145.357,148.822,143.921,148.612,49630700,0.0,0.0,48.232,55.55,70.49,69.767,21.631,-2.459,-4.42,147.511,145.827,146.757,151.28,150.019,143.14,148.365,143.549,143.071,157.381,152.651,141.917,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
2020-04-03 00:00:00-04:00,148.458,150.641,145.673,147.243,41243300,0.0,0.0,61.656,48.232,66.057,65.757,28.192,-2.15,-3.966,147.422,146.085,146.803,151.121,149.964,143.181,149.155,145.126,142.701,157.143,152.735,142.01,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
2020-04-06 00:00:00-04:00,153.455,159.37,150.832,158.193,67111700,0.0,0.0,61.797,61.656,96.38,77.642,74.389,-1.011,-3.375,151.012,148.286,147.888,151.399,150.127,143.33,150.12,147.93,143.402,157.156,152.927,142.151,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
2020-04-07 00:00:00-04:00,162.328,162.72,156.269,156.489,62769000,0.0,0.0,65.42,61.797,82.631,81.689,85.649,-0.242,-2.749,152.838,149.778,148.707,151.598,150.253,143.461,151.227,149.38,143.525,157.188,153.093,142.284,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
2020-04-08 00:00:00-04:00,158.576,159.533,156.499,158.059,48318200,0.0,0.0,65.108,65.42,87.006,88.672,80.718,0.488,-2.101,154.578,151.283,149.598,151.852,150.407,143.606,153.719,151.123,144.076,157.19,153.272,142.421,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
2020-04-09 00:00:00-04:00,159.236,160.203,156.336,158.069,51385100,0.0,0.0,70.182,65.108,87.033,85.557,79.589,1.055,-1.47,155.742,152.517,150.404,152.096,150.559,143.75,155.61,151.988,145.324,157.143,153.444,142.579,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
2020-04-13 00:00:00-04:00,157.312,158.48,155.35,158.423,41905300,0.0,0.0,71.761,70.182,84.372,86.137,72.086,1.516,-0.873,156.635,153.591,151.168,152.344,150.715,143.896,157.846,153.501,145.643,157.013,153.602,142.736,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
2020-04-14 00:00:00-04:00,161.763,166.31,160.806,166.262,52874300,0.0,0.0,69.912,71.761,99.829,90.411,109.779,2.485,-0.201,159.844,155.895,152.606,152.889,151.023,144.119,159.46,154.79,147.475,157.089,153.834,142.932,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
2020-04-15 00:00:00-04:00,163.869,166.138,161.993,164.52,40940800,0.0,0.0,69.476,69.912,92.632,92.278,101.245,3.077,0.454,161.403,157.463,153.74,153.346,151.29,144.322,161.066,156.146,148.687,157.05,154.048,143.119,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
2020-04-16 00:00:00-04:00,166.836,169.689,165.496,169.459,50479600,0.0,0.0,67.427,69.476,99.145,97.202,117.128,3.9,1.144,164.088,159.644,155.237,153.977,151.65,144.572,163.346,158.533,150.44,157.0,154.315,143.323,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
2020-04-17 00:00:00-04:00,171.814,172.292,168.339,170.952,52765600,0.0,0.0,76.178,67.427,95.332,95.703,118.962,4.619,1.839,166.376,161.7,156.734,154.643,152.032,144.834,165.923,160.767,152.158,156.985,154.597,143.531,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
2020-04-20 00:00:00-04:00,169.066,171.096,167.497,167.564,36669600,0.0,0.0,65.381,76.178,83.333,92.603,96.669,4.859,2.443,166.772,162.766,157.765,155.15,152.339,145.06,167.751,162.799,153.963,156.83,154.845,143.717,Technology,Software - Infrastructure,2675043205120,28.973,24.07,0.89,1.0,401.534,421.295
