Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Oscillators_RSI,Oscillators_RSI[1],Oscillators_STOCH.K,Oscillators_STOCH.D,Oscillators_CCI,Oscillators_MACD.macd,Oscillators_MACD.signal,Moving Averages_EMA5,Moving Averages_EMA10,Moving Averages_EMA20,Moving Averages_EMA50,Moving Averages_EMA100,Moving Averages_EMA200,Moving Averages_SMA5,Moving Averages_SMA10,Moving Averages_SMA20,Moving Averages_SMA50,Moving Averages_SMA100,Moving Averages_SMA200,Info_marketCap,Info_trailingPE,Info_dividendYield,Info_fiftyDayAverage,Info_twoHundredDayAverage
2018-04-02 00:00:00-04:00,151.671,152.387,146.796,148.351,85549400,0.0,0.0,0.0,25.238,30.814,7.745,11.936,-129.948,-2.033,-0.589,151.517,153.949,156.207,156.386,153.236,147.657,151.942,154.481,158.593,157.803,153.577,145.207,177154441216,28.883,0.56,505.098,494.439
2018-04-03 00:00:00-04:00,149.649,150.65,147.331,150.021,64090000,0.0,0.0,0.0,30.486,25.238,18.191,15.864,-114.701,-2.251,-0.921,151.018,153.235,155.618,156.136,153.173,147.68,150.58,153.542,158.102,157.635,153.616,145.299,177154441216,28.883,0.56,505.098,494.439
2018-04-04 00:00:00-04:00,147.121,152.854,146.949,152.387,65768700,0.0,0.0,0.0,34.957,30.486,31.899,19.278,-88.189,-2.207,-1.178,151.475,153.08,155.31,155.989,153.157,147.727,150.706,152.787,157.695,157.48,153.677,145.406,177154441216,28.883,0.56,505.098,494.439
2018-04-05 00:00:00-04:00,153.903,154.142,152.139,153.255,43054900,0.0,0.0,0.0,36.587,34.957,37.525,29.205,-52.743,-2.078,-1.358,152.068,153.112,155.114,155.882,153.159,147.782,151.354,152.189,157.313,157.316,153.741,145.506,177154441216,28.883,0.56,505.098,494.439
2018-04-06 00:00:00-04:00,151.566,153.074,148.704,149.42,59870900,0.0,0.0,0.0,33.602,36.587,17.927,29.117,-79.343,-2.26,-1.539,151.185,152.441,154.572,155.628,153.085,147.798,150.687,151.601,156.696,157.097,153.775,145.592,177154441216,28.883,0.56,505.098,494.439
2018-04-09 00:00:00-04:00,150.708,153.474,150.212,150.469,41810400,0.0,0.0,0.0,38.429,33.602,25.874,27.109,-60.27,-2.292,-1.689,150.947,152.082,154.181,155.426,153.033,147.825,151.11,151.526,155.973,156.899,153.819,145.677,177154441216,28.883,0.56,505.098,494.439
2018-04-10 00:00:00-04:00,152.835,154.285,151.747,153.789,48296800,0.0,0.0,0.0,42.584,38.429,49.261,31.021,-30.161,-2.027,-1.757,151.894,152.393,154.144,155.362,153.048,147.884,151.864,151.222,155.372,156.719,153.894,145.779,177154441216,28.883,0.56,505.098,494.439
2018-04-11 00:00:00-04:00,152.825,154.543,152.73,152.902,41622100,0.0,0.0,0.0,42.389,42.584,53.827,42.987,-22.105,-1.867,-1.779,152.23,152.485,154.025,155.265,153.045,147.934,151.967,151.336,154.841,156.537,153.966,145.874,177154441216,28.883,0.56,505.098,494.439
2018-04-12 00:00:00-04:00,153.827,155.277,153.741,154.743,30467900,0.0,0.0,0.0,49.288,42.389,70.954,58.014,0.383,-1.573,-1.738,153.068,152.896,154.094,155.245,153.079,148.002,152.265,151.809,154.402,156.418,154.063,145.981,177154441216,28.883,0.56,505.098,494.439
2018-04-13 00:00:00-04:00,155.516,155.745,153.274,153.942,44604900,0.0,0.0,0.0,53.765,49.288,63.799,62.86,3.199,-1.389,-1.668,153.359,153.086,154.079,155.194,153.096,148.061,153.169,151.928,153.931,156.27,154.134,146.096,177154441216,28.883,0.56,505.098,494.439
2018-04-16 00:00:00-04:00,155.02,155.678,154.046,155.115,28180800,0.0,0.0,0.0,47.299,53.765,74.276,69.676,18.728,-1.135,-1.561,153.944,153.455,154.178,155.191,153.136,148.131,154.098,152.604,153.542,156.173,154.222,146.208,177154441216,28.883,0.56,505.098,494.439
2018-04-17 00:00:00-04:00,156.679,158.797,156.365,158.454,35536100,0.0,0.0,0.0,61.143,47.299,97.138,78.404,61.386,-0.657,-1.38,155.447,154.364,154.585,155.319,153.241,148.234,155.031,153.447,153.495,156.207,154.344,146.347,177154441216,28.883,0.56,505.098,494.439
2018-04-18 00:00:00-04:00,158.454,159.312,157.7,158.778,29573900,0.0,0.0,0.0,65.312,61.143,95.732,89.049,69.658,-0.249,-1.154,156.558,155.166,154.984,155.454,153.351,148.339,156.206,154.087,153.437,156.37,154.454,146.489,177154441216,28.883,0.56,505.098,494.439
2018-04-19 00:00:00-04:00,157.977,158.349,156.775,157.319,34705700,0.0,0.0,0.0,58.339,65.312,84.07,92.313,54.209,-0.043,-0.932,156.811,155.558,155.207,155.527,153.429,148.428,156.721,154.493,153.341,156.425,154.548,146.63,177154441216,28.883,0.56,505.098,494.439
