Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Oscillators_RSI,Oscillators_RSI[1],Oscillators_STOCH.K,Oscillators_STOCH.D,Oscillators_CCI,Oscillators_MACD.macd,Oscillators_MACD.signal,Moving Averages_EMA5,Moving Averages_EMA10,Moving Averages_EMA20,Moving Averages_EMA50,Moving Averages_EMA100,Moving Averages_EMA200,Moving Averages_SMA5,Moving Averages_SMA10,Moving Averages_SMA20,Moving Averages_SMA50,Moving Averages_SMA100,Moving Averages_SMA200,Info_sector,Info_industry,Info_marketCap,Info_trailingPE,Info_forwardPE,Info_dividendYield,Info_beta,Info_fiftyDayAverage,Info_twoHundredDayAverage
2020-03-31 00:00:00-04:00,43.635,44.757,43.507,43.625,9595700,0.0,0.0,43.807,40.964,54.926,47.09,-19.729,-1.632,-1.888,43.63,43.724,44.833,47.268,47.532,45.359,44.071,42.712,44.904,48.621,49.551,44.515,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-01 00:00:00-04:00,42.749,43.415,42.265,42.457,8755200,0.0,0.0,47.103,43.807,41.114,48.492,-36.093,-1.626,-1.835,43.239,43.494,44.607,47.08,47.432,45.33,43.616,42.945,44.446,48.417,49.494,44.564,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-02 00:00:00-04:00,42.831,44.018,42.548,43.936,6174700,0.0,0.0,43.518,47.103,69.974,55.338,-12.964,-1.485,-1.765,43.471,43.574,44.543,46.957,47.362,45.316,43.299,43.332,44.123,48.24,49.451,44.615,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-03 00:00:00-04:00,43.625,43.954,42.703,42.959,5486200,0.0,0.0,55.963,43.518,56.186,55.758,-12.724,-1.435,-1.699,43.301,43.462,44.392,46.8,47.275,45.292,43.326,43.563,43.781,48.06,49.406,44.659,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-06 00:00:00-04:00,44.392,45.734,44.283,45.615,7370300,0.0,0.0,54.501,55.963,93.686,73.282,31.334,-1.168,-1.593,44.072,43.854,44.509,46.753,47.242,45.296,43.719,43.993,43.719,47.928,49.39,44.712,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-07 00:00:00-04:00,46.82,46.848,45.332,45.387,6568700,0.0,0.0,66.889,54.501,81.439,77.103,47.482,-0.963,-1.467,44.511,44.132,44.592,46.7,47.206,45.297,44.071,44.071,43.523,47.836,49.376,44.764,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-08 00:00:00-04:00,45.835,46.191,45.223,45.889,6325900,0.0,0.0,68.166,66.889,86.538,87.221,47.758,-0.752,-1.324,44.97,44.452,44.716,46.668,47.179,45.303,44.757,44.187,43.456,47.722,49.36,44.816,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-09 00:00:00-04:00,45.898,46.245,43.562,44.118,12274000,0.0,0.0,60.074,68.166,61.667,76.548,25.785,-0.719,-1.203,44.686,44.391,44.659,46.568,47.119,45.291,44.794,44.046,43.46,47.57,49.329,44.863,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-13 00:00:00-04:00,44.493,44.812,43.781,44.502,9873200,0.0,0.0,59.407,60.074,48.805,65.67,22.634,-0.655,-1.094,44.625,44.411,44.644,46.487,47.067,45.283,45.102,44.214,43.324,47.45,49.296,44.911,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-14 00:00:00-04:00,45.643,46.802,45.597,46.218,11068800,0.0,0.0,55.232,59.407,86.255,65.575,64.917,-0.46,-0.967,45.156,44.74,44.794,46.476,47.05,45.292,45.223,44.471,43.605,47.399,49.278,44.966,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-15 00:00:00-04:00,45.424,45.615,44.766,45.332,9398100,0.0,0.0,51.869,55.232,66.932,67.331,40.807,-0.373,-0.848,45.215,44.848,44.845,46.432,47.016,45.293,45.212,44.641,43.677,47.315,49.249,45.018,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-16 00:00:00-04:00,47.295,48.509,47.176,47.834,18615900,0.0,0.0,56.477,51.869,89.181,80.789,109.423,-0.101,-0.699,46.088,45.39,45.13,46.487,47.032,45.318,45.601,45.179,44.062,47.232,49.247,45.072,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-17 00:00:00-04:00,49.413,49.468,48.381,49.011,11288500,0.0,0.0,68.981,56.477,93.663,83.259,137.437,0.208,-0.517,47.062,46.049,45.499,46.586,47.072,45.355,46.579,45.687,44.509,47.165,49.261,45.136,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-20 00:00:00-04:00,48.381,49.13,47.98,48.007,9901700,0.0,0.0,63.213,68.981,79.721,87.522,113.115,0.367,-0.34,47.377,46.405,45.738,46.641,47.09,45.381,47.28,46.191,44.877,47.075,49.267,45.196,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-21 00:00:00-04:00,47.103,47.295,46.117,46.893,13102500,0.0,0.0,59.304,63.213,64.259,79.214,57.117,0.398,-0.193,47.216,46.494,45.848,46.651,47.086,45.396,47.416,46.319,45.156,46.997,49.253,45.252,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-22 00:00:00-04:00,47.907,48.482,47.843,48.336,8255500,0.0,0.0,66.479,59.304,83.641,75.874,99.572,0.534,-0.047,47.589,46.829,46.085,46.717,47.111,45.425,48.016,46.614,45.342,46.932,49.255,45.319,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-23 00:00:00-04:00,48.208,48.5,47.706,48.053,7619900,0.0,0.0,62.37,66.479,79.082,75.661,85.965,0.611,0.084,47.744,47.051,46.273,46.77,47.13,45.451,48.06,46.83,45.509,46.832,49.252,45.382,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-24 00:00:00-04:00,48.016,48.281,47.469,48.135,5701800,0.0,0.0,66.435,62.37,77.434,80.053,73.83,0.671,0.202,47.874,47.248,46.45,46.823,47.149,45.478,47.885,47.232,45.639,46.717,49.256,45.441,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-27 00:00:00-04:00,48.518,49.066,48.354,48.847,5812300,0.0,0.0,61.706,66.435,89.49,82.002,89.512,0.768,0.315,48.198,47.539,46.678,46.902,47.183,45.512,48.053,47.667,45.94,46.621,49.269,45.503,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-28 00:00:00-04:00,48.847,49.048,48.089,48.162,8561100,0.0,0.0,59.731,61.706,77.898,81.607,70.448,0.78,0.408,48.186,47.652,46.82,46.952,47.203,45.538,48.307,47.861,46.166,46.531,49.277,45.56,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-29 00:00:00-04:00,49.066,49.924,48.774,49.732,8565500,0.0,0.0,62.537,59.731,96.987,88.125,90.319,0.905,0.507,48.702,48.03,47.097,47.061,47.253,45.58,48.586,48.301,46.471,46.51,49.296,45.622,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-04-30 00:00:00-04:00,49.477,49.669,48.345,48.5,6337900,0.0,0.0,64.815,62.537,76.82,83.902,61.458,0.895,0.585,48.634,48.116,47.231,47.117,47.277,45.609,48.675,48.368,46.773,46.438,49.293,45.679,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-05-01 00:00:00-04:00,47.907,47.98,46.638,46.647,10238700,0.0,0.0,56.597,64.815,36.46,70.089,3.755,0.73,0.614,47.972,47.849,47.175,47.099,47.265,45.619,48.378,48.131,46.909,46.349,49.266,45.726,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-05-04 00:00:00-04:00,47.277,47.633,46.811,47.605,7514000,0.0,0.0,54.476,56.597,55.044,56.108,5.46,0.668,0.625,47.85,47.805,47.216,47.119,47.272,45.639,48.129,48.091,47.141,46.296,49.253,45.772,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-05-05 00:00:00-04:00,47.66,47.998,47.085,47.204,7780700,0.0,0.0,56.231,54.476,28.537,40.014,4.63,0.58,0.616,47.634,47.695,47.215,47.122,47.27,45.655,47.938,48.122,47.221,46.261,49.236,45.813,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-05-06 00:00:00-04:00,47.569,48.034,47.469,47.587,8206700,0.0,0.0,49.045,56.231,38.609,40.73,10.671,0.535,0.599,47.619,47.676,47.25,47.14,47.276,45.674,47.509,48.047,47.331,46.239,49.209,45.852,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2020-05-07 00:00:00-04:00,48.336,48.363,47.56,47.77,5493400,0.0,0.0,44.785,49.045,43.405,36.851,14.463,0.508,0.581,47.669,47.693,47.3,47.165,47.286,45.695,47.363,48.019,47.425,46.199,49.161,45.892,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
